time,tmax_ch,tmean_ch,tmin_ch,p_cr2met_ch,p_mswep_ch,tmax_pa,tmean_pa,tmin_pa,p_cr2met_pa,p_mswep_pa
1/1/1979,24.18635377,15.70362026,7.988352532,142.5938089,88.9,14.81666771,9.273370319,3.876480386,101.0435796,69.154
2/1/1979,24.45167539,15.13215296,7.293314911,128.3763351,63.5,13.6878887,8.068022196,3.165348775,74.0377197,45.383
3/1/1979,19.55234177,12.39690752,6.080701152,174.1537757,108.9,11.97348037,6.474967203,1.254201206,88.72147749,62.155
4/1/1979,15.48445417,8.617293193,2.817068259,207.6692419,100.1,9.07502473,3.998139261,-0.268439432,89.33300073,75.267
5/1/1979,9.715886352,5.909628984,2.245321449,679.2098018,599.3,4.640872217,0.657371774,-3.28744754,115.5248344,76.939
6/1/1979,7.04005086,3.485849773,0.15009078,485.1139765,377.6,3.71608841,0.383585241,-2.933598562,131.1877624,120.395
7/1/1979,8.149848013,3.712038093,-0.423126342,468.7453885,421.7,2.228690377,-0.899436751,-4.187727243,162.8285738,139.018
8/1/1979,8.633200777,4.781686658,0.862560033,681.3203935,695.7,1.194595887,-1.925962442,-5.049527152,125.361675,106.611
9/1/1979,12.24643109,5.68153899,-0.000979197,325.8478576,340.5,3.767338562,-0.204575799,-4.060013915,108.4116756,99.041
10/1/1979,14.27057074,8.446219919,3.590507477,358.1218695,298.5,5.789603281,1.505622223,-2.978122929,105.6779033,83.327
11/1/1979,17.66182427,10.96490418,4.845133644,310.0508844,264,9.157382273,4.675313241,-0.033225268,114.7242664,108.52
12/1/1979,21.21018526,13.31469234,6.228310681,245.9210165,173.2,13.11015497,7.689127413,2.441126889,82.56014504,66.869
1/1/1980,23.52294171,15.99563929,9.426065065,175.8422717,103.6,13.08257045,8.154168858,3.509235223,98.94362102,77.097
2/1/1980,22.51504345,14.84413541,8.625741341,333.9951847,294.5,12.41809041,7.141625221,2.359239714,99.7631986,82.066
3/1/1980,19.68765229,13.3313101,7.766685413,393.6670813,295.2,10.78440106,6.574775219,2.556908624,215.384411,151.351
4/1/1980,11.99603171,6.803825607,2.513159781,413.1224082,279.3,5.05912557,0.356660641,-3.810117732,75.0850434,86.895
