time,RMB.sada,LC.sada
1400,-0.088,1.024000049
1401,0.115000002,2.568000078
1402,-0.540000021,0.953999996
1403,-0.238999993,0.005
1404,1.598999977,1.434999943
1405,1.743000031,0.210999995
1406,1.43599999,-0.603999972
1407,1.26699996,-0.423000008
1408,1.292000055,-0.234999999
1409,2.065000057,0.97299999
1410,-0.819000006,-1.677999973
1411,-1.718000054,-2.335000038
1412,1.444000006,-0.481999993
1413,1.136999965,-0.32100001
1414,-0.207000002,0.018999999
1415,-0.745999992,0.157000005
1416,-1.44599998,-0.492000014
1417,0.061999999,0.827000022
1418,-0.061999999,0.528999984
1419,-0.912999988,-0.950999975
1420,0.827000022,0.143000007
1421,1.669999957,0.818000019
1422,1.73300004,1.498999953
1423,-0.089000002,-0.675000012
1424,0.35800001,-0.089000002
1425,0.957000017,0.878000021
1426,-0.456,0.072999999
1427,0.079000004,-0.231000006
1428,1.521000028,0.513999999
1429,-0.981000006,-1.621999979
1430,-0.358999997,-2.721999884
1431,1.94599998,0.878000021
1432,1.077000022,0.273000002
1433,-0.806999981,-3.269999981
1434,1.031000018,-0.596000016
1435,0.675999999,-0.512000024
1436,0.384000003,-0.257999986
1437,0.25,0.344999999
1438,-0.481999993,1.45599997
1439,0.270000011,0.870000005
1440,-0.632000029,-3.484999895
1441,2.595999956,-1.475999951
1442,3.000999928,0.029999999
1443,1.338999987,-0.061000001
1444,1.059000015,0.092
1445,0.589999974,0.007
1446,-0.894999981,-2.549000025
1447,2.147000074,-0.133000001
1448,1.993000031,-1.037999988
1449,0.639999986,-2.328000069
1450,3.243000031,-0.044
1451,1.753999949,-0.688000023
1452,2.039000034,-0.739000022
1453,1.35800004,-1.373000026
1454,-0.046999998,-2.563999891
1455,-0.625999987,-4.416999817
1456,1.052999973,-2.051000118
1457,1.539000034,0.409999996
1458,1.31400001,0.874000013
1459,2.262000084,2.440000057
1460,-1.256000042,-1.266000032
1461,0.167999998,-2.326999903
1462,-0.927999973,-3.301000118
1463,1.893000007,-0.192000002
1464,2.242000103,-0.388000011
1465,0.550999999,-1.299000025
1466,0.321999997,-1.032999992
1467,-2.092000008,-5.118999958
1468,1.340999961,-5.006999969
1469,5.744999886,-0.773999989
1470,5.190999985,1.631999969
1471,4.09100008,1.61500001
1472,3.372999907,1.552000046
1473,2.312000036,1.81099999
1474,0.222000003,0.012
1475,1.218000054,-0.257999986
1476,0.188999996,-1.177000046
1477,-0.680000007,-1.144999981
1478,-1.139999986,-2.23300004
1479,-3.338999987,-6.434000015
1480,0.379000008,-4.610000134
1481,1.73300004,-2.76699996
1482,-0.566999972,-3.91899991
1483,0.82099998,-2.255000114
1484,1.906999946,-0.291999996
1485,1.421000004,0.063000001
1486,1.991000056,0.98299998
1487,2.022000074,1.121000051
1488,1.521999955,1.205000043
1489,0.246000007,0.70599997
1490,-0.066,0.832000017
1491,-0.252000004,1.501000047
1492,-0.836000025,0.822000027
1493,-4.764999866,-4.90500021
1494,0.135000005,-1.101999998
1495,1.355000019,1.159000039
1496,-0.528999984,-1.289000034
1497,0.150999993,0.245000005
1498,0.356999993,1.416000009
1499,-1.570000052,-1.243999958
1500,-0.012,-0.561999977
1501,-0.296000004,-0.896000028
1502,-0.052000001,-1.014000058
1503,1.274000049,-0.666999996
1504,2.517999887,0.751999974
1505,1.718999982,1.200999975
1506,0.204999998,-0.404000014
1507,-0.31400001,-1.154000044
1508,2.171000004,0.219999999
1509,-0.574000001,-1.222000003
1510,-2.04399991,-0.943000019
1511,-1.039000034,1.45599997
1512,-0.967999995,0.442999989
1513,-0.916000009,-0.809000015
1514,1.578999996,0.298999995
1515,1.531000018,-0.016000001
1516,1.246999979,-2.210999966
1517,2.108999968,-2.50999999
1518,2.246999979,0.008
1519,-1.042000055,-4.199999809
1520,2.323999882,-2.631999969
1521,5.572999954,0.98299998
1522,3.270999908,-0.419
1523,3.721999884,-0.340000004
1524,3.002000093,-1.332000017
1525,2.854000092,0.446999997
1526,-0.180000007,-0.995999992
1527,0.048999999,-0.174999997
1528,0.495999992,1.513000011
1529,-0.472000003,0.550999999
1530,-1.184000015,-2.154000044
1531,1.866000056,0.194000006
1532,0.391000003,-0.848999977
1533,1.26699996,-0.666999996
1534,1.84800005,-0.218999997
1535,2.148000002,-0.165000007
1536,1.475999951,0.089000002
1537,-0.181999996,-2.372999907
1538,-0.007,-4.669000149
1539,2.52699995,1.251999974
1540,2.470999956,-0.237000003
1541,2.983999968,-0.36500001
1542,3.200999975,-0.061999999
1543,1.070000052,-1.893000007
1544,2.282999992,-0.25999999
1545,0.481000006,-0.59799999
1546,1.340999961,0.155000001
1547,2.609999895,1.536000013
1548,0.735000014,-1.172000051
1549,2.476000071,-0.984000027
1550,2.911999941,-0.98299998
1551,1.414000034,-1.605999947
1552,1.128000021,0.25
1553,0.869000018,2.086999893
1554,-3.138000011,-2.394000053
1555,0.656000018,1.50999999
1556,0.273000002,0.605000019
1557,2.967000008,-0.574999988
1558,3.357000113,-0.541000009
1559,1.547000051,-1.541000009
1560,3.999000072,1.215000033
1561,2.713000059,1.909999967
1562,0.953000009,-0.533999979
1563,0.291999996,-1.669999957
1564,-1.860999942,-5.40199995
1565,1.445000052,-2.88499999
1566,1.315999985,-1.934999943
1567,2.914000034,-0.280000001
1568,3.296000004,0.476000011
1569,1.866000056,0.125
1570,0.342999995,-1.828999996
1571,1.774999976,-0.518000007
1572,3.128000021,0.940999985
1573,1.57099998,0.791000009
1574,1.833999991,2.253000021
1575,0.398999989,2.436000109
1576,-0.179000005,0.933000028
1577,-1.58099997,-3.230000019
1578,0.490999997,-1.315999985
1579,1.26699996,-0.808000028
1580,2.299999952,0.370999992
1581,2.499000072,0.192000002
