Year_coll,Site,Patch,Patch2,Plot,Individual,Height_cm,Diam_1.3m_cm,Diam_0.3m_cm,AltDiam_cm,Height_AltDiam_cm,Diam_stump_cm,Cor_Height_cm,Cor_Diam_cm,Within_plot,CountperHa,Sex,Habit,Tree_Measure_Notes,height_error_u95_cm,Core_Notes,Sample_Type,Status,Measure_Certainty,Pith,Outer_rings,ORW,Within_plot,TR_Count,CoringHeight_Corr,CoringHeight_Corr_prop,Duncan_qual,Duncan_RTP_all,Duncan_RTP_all_prop,TreeAge_all,Duncan_RTP1,Duncan_RTP1_prop,TreeAge1,AgeAcc1,EstabDate1,EstabDate1_50,EstabDate1_10,Duncan_RTP2,Duncan_RTP2_prop,TreeAge2,AgeAcc2,EstabDate2,EstabDate2_50,EstabDate2_10,EstabDate2_20,DuncanRTP_3,Duncan_RTP3_prop,TreeAge3,AgeAcc3,EstabDate3,EstabDate3_50,EstabDate3_10,Remove,min_age
2019,RMB,Bog Forest,Bog Forest,BF01,BF01191,,,,11,63,,63,11,0,25,,Vertical,relatively sure of base,10,core broken but not drastically; interesting injury near pith -- photograph?,Tree,Live,High,1,1,NA,0,223,44,0.16,,,0,267,,0,267,"High CHA, Pith",1751,1750,1750,,0,267,"High CHA, Pith",1751,1750,1750,1740,,0,267,"High CHA, Pith",1751,1750,1750,0,0
2017,RMB,Bog Forest,Bog Forest,BF01,BF01T01,170,6.5,9,,,,55,,1,100,Female,Vertical,,2,,Tree,Live,High,0,1,NA,1,205,38,0.15,somewhat,11,0.04,254,11,0.04,254,"High CHA, Duncan",1762,1750,1760,11,0.04,254,"High CHA, Duncan",1762,1750,1760,1760,11,0.04,254,"High CHA, Duncan",1762,1750,1760,0,0
2017,RMB,Bog Forest,Bog Forest,BF01,BF01T02,240,5.5,16,,,,50,,0,25,,Vertical,,2,,Tree,Live,High,0,1,NA,0,144,34,0.16,somewhat,39,0.18,217,39,0.18,217,"High CHA, Duncan",1799,1750,1790,39,0.18,217,"High CHA, Duncan",1799,1750,1790,1780,39,0.18,217,"High CHA, Duncan",1799,1750,1790,0,0
2019,RMB,Bog Forest,Bog Forest,BF02,BF021901a,225,7,,,,,41,8,0,25,,Vertical,unsure of base; coring height could be 68,30,,Tree,Live,Low,0,1,NA,0,257,28,0.09,strong,13,0.04,298,,0,285,Minimum age,1733,1700,1730,,0,285,Minimum age,1733,1700,1730,1720,,0,285,Minimum age,1733,1700,1730,0,0
2019,RMB,Bog Forest,Bog Forest,BF02,BF021902,279,4,,,,,95,6,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,151,66,0.26,weak,33,0.13,251,33,0.13,251,"High CHA, Duncan",1767,1750,1760,33,0.13,251,"High CHA, Duncan",1767,1750,1760,1760,33,0.13,251,"High CHA, Duncan",1767,1750,1760,0,0
2017,RMB,Bog Forest,Bog Forest,BF02,BF02T01,198,2.1,6.5,,,,30,6.5,1,100,,Vertical,,2,,Tree,Live,High,1,1,NA,1,176,20,0.1,,,0,196,,0,196,"High CHA, Pith",1820,1800,1820,,0,196,"High CHA, Pith",1820,1800,1820,1820,,0,196,"High CHA, Pith",1820,1800,1820,0,0
2017,RMB,Bog Forest,Bog Forest,BF02,BF02T02,135,0.5,7.7,,,,30,7.7,1,100,,Vertical,,2,,Tree,Live,High,1,1,NA,1,206,20,0.09,,,0,226,,0,226,"High CHA, Pith",1790,1750,1790,,0,226,"High CHA, Pith",1790,1750,1790,1780,,0,226,"High CHA, Pith",1790,1750,1790,0,0
2017,RMB,Bog Forest,Bog Forest,BF02,BF02T04,205,2,6.5,,,,30,6.5,1,100,,Vertical,,2,Uncertain of bark side,Tree,Live,High,0,0,0,1,148,20,0.12,strong,3,0.02,171,,0,168,Minimum age,1848,1800,1840,,0,168,Minimum age,1848,1800,1840,1840,,0,168,Minimum age,1848,1800,1840,0,1
2017,RMB,Bog Forest,Bog Forest,BF02,BF02T05b,196,4.8,8,,,,30,8,1,100,,Vertical,,2,broken and a piece that doesn't belong to core (?) glued to mount? Contiguous part of core may be incomplete,Tree,Live,High,0,0,0,1,228,20,0.08,somewhat,14,0.05,263,,0,248,Minimum age,1768,1750,1760,,0,248,Minimum age,1768,1750,1760,1760,,0,248,Minimum age,1768,1750,1760,0,1
2017,RMB,Bog Forest,Bog Forest,BF03,BF03T01,230,4.3,6.5,,,,30,6.5,1,100,,Vertical,,2,,Tree,Live,High,0,1,NA,1,208,20,0.08,somewhat,13,0.05,241,13,0.05,241,"High CHA, Duncan",1775,1750,1770,13,0.05,241,"High CHA, Duncan",1775,1750,1770,1760,13,0.05,241,"High CHA, Duncan",1775,1750,1770,0,0
