Patch,Core_ID,Ring_ID,Ring Width
Transition,R01T01,R01T01_1,0.45
Transition,R01T01,R01T01_2,0.62
Transition,R01T01,R01T01_3,0.55
Transition,R01T02,R01T02_1,1.45
Transition,R01T02,R01T02_2,1.95
Transition,R01T02,R01T02_3,1.11
Transition,R01T03,R01T03_1,0.35
Transition,R01T03,R01T03_2,0.2
Transition,R01T03,R01T03_3,0.17
Transition,R01T04b,R01T04b_1,0.18
Transition,R01T04b,R01T04b_2,0.16
Transition,R01T04b,R01T04b_3,0.17
Transition,R01T06,R01T06_1,1.55
Transition,R01T06,R01T06_2,1.25
Transition,R01T06,R01T06_3,1.31
Transition,R01T08,R01T08_1,1.32
Transition,R01T08,R01T08_2,0.85
Transition,R01T08,R01T08_3,1
Transition,R02T01,R02T01_1,0.49
Transition,R02T01,R02T01_2,0.43
Transition,R02T01,R02T01_3,0.81
Transition,R02T02,R02T02_1,0.96
Transition,R02T02,R02T02_2,0.98
Transition,R02T02,R02T02_3,0.73
Transition,R02T07,R02T07_1,0.25
Transition,R02T07,R02T07_2,0.2
Transition,R02T07,R02T07_3,0.16
Transition,R02XT02,R02XT02_1,1.17
Transition,R02XT02,R02XT02_2,1.01
Transition,R02XT02,R02XT02_3,1.18
Transition,R03T01,R03T01_1,0.53
Transition,R03T01,R03T01_2,0.87
Transition,R03T01,R03T01_3,0.45
Transition,R03T07,R03T07_1,0.54
Transition,R03T07,R03T07_2,0.35
Transition,R03T07,R03T07_3,0.78
Transition,R03T08,R03T08_1,0.48
Transition,R03T08,R03T08_2,0.62
Transition,R03T08,R03T08_3,0.36
Transition,R04T01,R04T01_1,0.41
Transition,R04T01,R04T01_2,0.61
Transition,R04T01,R04T01_3,0.73
Transition,R04T02,R04T02_1,0.99
Transition,R04T02,R04T02_2,0.9
Transition,R04T02,R04T02_3,0.71
Transition,R05T01,R05T01_1,0.89
Transition,R05T01,R05T01_2,1.09
Transition,R05T01,R05T01_3,1.15
Transition,R06T01,R06T01_1,0.9
Transition,R06T01,R06T01_2,0.75
Transition,R06T01,R06T01_3,0.5
Transition,R06T02,R06T02_1,0.41
Transition,R06T02,R06T02_2,0.48
Transition,R06T02,R06T02_3,0.39
Transition,R06T03,R06T03_1,0.13
Transition,R06T03,R06T03_2,0.16
Transition,R06T03,R06T03_3,0.19
Transition,R07T01,R07T01_1,0.28
Transition,R07T01,R07T01_2,0.19
Transition,R07T01,R07T01_3,0.28
Transition,R07T02,R07T02_1,0.58
Transition,R07T02,R07T02_2,0.64
Transition,R07T02,R07T02_3,0.59
Transition,R08T02,R08T02_1,1.24
Transition,R08T02,R08T02_2,0.92
Transition,R08T02,R08T02_3,1
Transition,R091901,R091901_1,0.99
Transition,R091901,R091901_2,0.82
Transition,R091901,R091901_3,1.14
Transition,R0XT01a,R0XT01a_1,1.41
Transition,R0XT01a,R0XT01a_2,1.26
Transition,R0XT01a,R0XT01a_3,1.37
Transition,RLARGE01,RLARGE01_1,0.49
Transition,RLARGE01,RLARGE01_2,0.99
Transition,RLARGE01,RLARGE01_3,1.06
Transition,RLARGE02,RLARGE02_1,1.01
