Harv_Yr,Site,Order,Patch,Plot,Sapling,Round,Height_RC,RC,Estab_Yr,Priority,AddRings,Pot_outlier
2017,RMB,1,Bog Forest,BF01,BF01_01,BF0101_0to2,0,147,1869,1,0,0
2017,RMB,1,Bog Forest,BF01,BF01_01,BF0101_20to22,20,138,1878,1,9,0
2017,RMB,1,Bog Forest,BF01,BF01_01,BF0101_40to42,40,132,1884,1,15,0
2017,RMB,1,Bog Forest,BF01,BF01_01,BF0101_60to62,60,118,1898,1,29,0
2017,RMB,1,Bog Forest,BF01,BF01_01,BF0101_84to86,84,101,1915,1,46,0
2017,RMB,1,Bog Forest,BF01,BF01_03,BF0103_0to2,0,116,1900,1,0,0
2017,RMB,1,Bog Forest,BF01,BF01_03,BF0103_20to22,20,101,1915,1,15,0
2017,RMB,1,Bog Forest,BF01,BF01_03,BF0103_40to42,40,85,1931,1,31,0
2017,RMB,1,Bog Forest,BF01,BF01_03,BF0103_60to62,60,67,1949,1,49,0
2017,RMB,1,Bog Forest,BF01,BF01_03,BF0103_84to86,84,49,1967,1,67,0
2017,RMB,1,Bog Forest,BF01,BF01_06,BF0106_0to2,0,93,1923,1,0,0
2017,RMB,1,Bog Forest,BF01,BF01_06,BF0106_24.5to26.5,25,75,1941,1,18,0
2017,RMB,1,Bog Forest,BF01,BF01_06,BF0106_40to42,40,68,1948,1,25,0
2017,RMB,1,Bog Forest,BF01,BF01_06,BF0106_60to62,60,60,1956,1,33,0
2017,RMB,1,Bog Forest,BF01,BF01_06,BF0106_80to82,80,44,1972,1,49,0
2017,RMB,1,Bog Forest,BF02,BF02_02,BF0202_0to2,0,69,1947,1,0,1
2017,RMB,1,Bog Forest,BF02,BF02_02,BF0202_10to12,10,65,1951,1,4,1
2017,RMB,1,Bog Forest,BF02,BF02_02,BF0202_20to22,20,58,1958,1,11,1
2017,RMB,1,Bog Forest,BF02,BF02_02,BF0202_30to32,30,54,1962,1,15,1
2017,RMB,1,Bog Forest,BF02,BF02_02,BF0202_80to82,80,40,1976,1,29,1
2017,RMB,1,Bog Forest,BF02,BF02_04,BF0204_0to2,0,131,1885,1,0,0
2017,RMB,1,Bog Forest,BF02,BF02_04,BF0204_10to12,10,128,1888,1,3,0
2017,RMB,1,Bog Forest,BF02,BF02_04,BF0204_20to22,20,109,1907,1,22,0
2017,RMB,1,Bog Forest,BF02,BF02_04,BF0204_30to32,30,108,1908,1,23,0
2017,RMB,1,Bog Forest,BF02,BF02_04,BF0204_100to102,100,88,1928,1,43,0
2017,RMB,1,Bog Forest,BF03,BF03_01,BF0301_0to2,0,129,1887,1,0,0
2017,RMB,1,Bog Forest,BF03,BF03_01,BF0301_10to12,10,129,1887,1,0,0
2017,RMB,1,Bog Forest,BF03,BF03_01,BF0301_20to22,20,124,1892,1,5,0
2017,RMB,1,Bog Forest,BF03,BF03_01,BF0301_30to32,30,123,1893,1,6,0
2017,RMB,1,Bog Forest,BF03,BF03_01,BF0301_110to112,110,99,1917,1,30,1
2017,RMB,1,Bog Forest,BF03,BF03_02,BF0302_0to2,0,167,1849,1,0,0
2017,RMB,1,Bog Forest,BF03,BF03_02,BF0302_10to12,10,158,1858,1,9,0
2017,RMB,1,Bog Forest,BF03,BF03_02,BF0302_20to22,20,158,1858,1,9,0
2017,RMB,1,Bog Forest,BF03,BF03_02,BF0302_30to32,30,147,1869,1,20,0
2017,RMB,1,Bog Forest,BF03,BF03_02,BF0302_100to102,100,61,1955,1,106,0
2017,RMB,1,Bog Forest,BF03,BF03_03,BF0303_0to2,0,157,1859,1,0,0
2017,RMB,1,Bog Forest,BF03,BF03_03,BF0303_10to12,10,157,1859,1,0,0
2017,RMB,1,Bog Forest,BF03,BF03_03,BF0303_20to22,20,149,1867,1,8,0
2017,RMB,1,Bog Forest,BF03,BF03_03,BF0303_30to32,30,133,1883,1,24,0
2017,RMB,1,Bog Forest,BF03,BF03_03,BF0303_110to112,110,129,1887,1,28,1
2017,RMB,1,Bog Forest,BF03,BF03_05,BF0305_0to2,1,146,1870,1,0,0
2017,RMB,1,Bog Forest,BF03,BF03_05,BF0305_10to12,10,146,1870,1,0,0
2017,RMB,1,Bog Forest,BF03,BF03_05,BF0305_30to32,30,135,1881,1,11,0
2017,RMB,1,Bog Forest,BF03,BF03_05,BF0305_100to102,100,122,1894,1,24,1
2017,RMB,1,Bog Forest,BF04,BF04_01,BF0401_0to2,0,101,1915,1,0,0
2017,RMB,1,Bog Forest,BF04,BF04_01,BF0401_10to12,10,98,1918,1,3,0
2017,RMB,1,Bog Forest,BF04,BF04_01,BF0401_20to22,20,98,1918,1,3,0
2017,RMB,1,Bog Forest,BF04,BF04_01,BF0401_30to32,30,97,1919,1,4,0
2017,RMB,1,Bog Forest,BF04,BF04_01,BF0401_90to92,90,52,1964,1,49,0
